component,load_N,temperature_C,material_type,stress_Pa,strain,yield_point_Pa,safety_factor,manufacturing_method,estimation_cost,modulus_gpa,thermal_expansion_alpha,density_kg_m3,delta_temp,thermal_stress_estimate_pa,temp_degradation_factor,adjusted_yield_point_pa,stress_to_yield_ratio,load_intensity,material_efficiency,safety_factor_capped
piston,499.3051362,46.09362033,abs_plastic,105367.2178,5.27e-05,24635459.89,233.8057358,Forging,286.67,2.3,73.8,1050,26.09362033,4429131.1148141995,0.986953189835,24314045.7214877,0.004277055036539851,2.0267741638656294e-05,0.22267212933333333,233.8057358
lever,9848.079328,183.0959444,steel,7082421.968,3.54e-05,202318764.5,28.56632454,Casting,378.09,200.0,12.0,7850,163.0959444,391430266.56,0.9184520278,185820079.51701567,0.03500625354995186,4.867605509720281e-05,0.0036390222343949045,28.56632454
cam,9859.456229,87.088711,abs_plastic,1216488.684,0.000608244,10970429.67,9.018110739,Milling,302.97,2.3,73.8,1050,67.088711,11387637.805139998,0.9664556445,10602433.677161772,0.11088797071701202,0.000898730179726862,0.008588676894285715,9.018110739
piston,186.8943983,318.0636689,steel,60524.50727,3.03e-07,167170919.6,2762.036852,3D Printing,124.08,200.0,12.0,7850,298.0636689,715352805.36,0.85096816555,142257130.78531852,0.00036205164998087387,1.1179839098043701e-06,0.3518518282802548,1000.0
gear,5103.116039,414.9706851,chromium,799597.1261,2.87e-06,261676438.3,327.2603537,Forging,70.78,279.0,4.9,7190,394.9706851,539964423.6002101,0.80251465745,209999177.24506056,0.0030556710848505917,1.9501626023927733e-05,0.045516043630041726,327.2603537
bracket,1423.586979,562.528804,titanium,188827.4075,1.72e-06,196838995.0,1042.428097,Machining,207.21,116.0,8.6,4500,542.528804,541226734.8704,0.728735598,143443582.731044,0.000959298778679499,7.232240639107104e-06,0.2316506882222222,1000.0
piston,6798.510612,49.07231456,abs_plastic,724170.7756,0.000362085,23642561.81,32.64777123,Casting,162.12,2.3,73.8,1050,29.072314560000002,4934734.6734144,0.98546384272,23298889.813027717,0.03062996224434953,0.0002875538897449117,0.031093115457142852,32.64777123
bearing,3388.507968,76.06467344,abs_plastic,441405.5863,0.000220703,14645108.85,33.17834959,3D Printing,251.13,2.3,73.8,1050,56.06467344000001,9516417.6697056,0.97196766328,14234572.227415746,0.030140136944082872,0.00023137472057778525,0.03159842818095238,33.17834959
bolt,421.2656602,85.96470391,aluminium,132805.8918,1.9e-06,114181373.4,859.7613543,Machining,377.64,69.0,23.1,2700,65.96470391,105141141.56214899,0.967017648045,110415403.15581593,0.0011631134557714123,3.6894429244971754e-06,0.31843013122222225,859.7613543
lever,2498.34586,138.0230368,titanium,261604.6216,2.38e-06,727471203.9,2780.804098,Machining,272.3,116.0,8.6,4500,118.0230368,117739781.51167999,0.9409884816,684542023.565585,0.0003596082156895393,3.4342883218006094e-06,0.6179564662222222,1000.0
housing,565.2257599,114.867646,aluminium,137492.0435,1.96e-06,102138480.8,742.8683012,Casting,461.02,69.0,23.1,2700,94.867646,151209540.9594,0.952566177,97293662.1802439,0.0013461336258684593,5.533915870618667e-06,0.27513640785185184,742.8683012
shaft,6325.84168,647.5731317,chromium,742470.3901,2.66e-06,184142289.4,248.0129738,Injection Molding,111.58,279.0,4.9,7190,627.5731317,857955228.3470701,0.68621343415,126360912.78141715,0.004032047133329494,3.435300875541303e-05,0.03449415490959666,248.0129738
cylinder,5471.475937,399.0803266,titanium,1945421.319,1.77e-05,401149591.7,206.20191,Injection Molding,143.49,116.0,8.6,4500,379.0803266,378170533.81615996,0.8104598367,325115632.5814537,0.004849615602886827,1.3639490230596688e-05,0.04582264666666667,206.20191
cam,4943.349822,150.677578,chromium,1976400.476,7.08e-06,349774140.7,176.9753372,Casting,488.44,279.0,4.9,7190,130.677578,178649316.88380006,0.934661211,326920321.92314637,0.005650504843052853,1.4132976817859995e-05,0.02461409418636996,176.9753372
bracket,9250.664714,84.50825903,aluminium,3121518.145,4.46e-05,114788225.4,36.7732046,Forging,223.06,69.0,23.1,2700,64.50825903,102819714.067917,0.967745870485,111085831.1111514,0.027193713763955442,8.058896878808268e-05,0.013619705407407407,36.7732046
gear,1270.560085,287.1046595,aluminium,146561.0055,2.09e-06,30373058.54,207.2383335,Milling,120.09,69.0,23.1,2700,267.1046595,425738116.77705,0.86644767025,26316665.810349867,0.004825362098683132,4.183181233877805e-05,0.07675493833333334,207.2383335
cam,6772.974888,24.66493195,aluminium,1960026.18,2.8e-05,139722945.0,71.28626466,Milling,78.32,69.0,23.1,2700,4.66493195,7435435.035104999,0.997667534025,139397045.9848607,0.014027947807713327,4.8474321007190336e-05,0.026402320244444444,71.28626466
coupling,7040.866115,422.5169126,chromium,1381670.259,4.95e-06,259161029.1,187.5708241,Milling,64.04,279.0,4.9,7190,402.5169126,550280871.2154601,0.7987415437000001,207002680.45021462,0.005331319542132502,2.716792003586005e-05,0.026087736314325455,187.5708241
shaft,6948.02913,535.8472896,steel,14469975.53,7.23e-05,110456435.0,7.633491486,Machining,280.88,200.0,12.0,7850,515.8472896,1238033495.04,0.7420763552,81967108.69318572,0.13100165264251012,6.290289135259525e-05,0.0009724192975796178,7.633491486
housing,5193.447063,516.9645028,titanium,1099818.844,1e-05,253794371.5,230.7601592,Forging,355.96,116.0,8.6,4500,496.9645028,495771787.99327993,0.7515177486,190730974.677032,0.0043335036844975895,2.0463208196088777e-05,0.051280035377777776,230.7601592
piston,7998.266345,694.2056878,steel,1730031.221,8.65e-06,69217268.79,40.00925992,Machining,423.15,200.0,12.0,7850,674.2056878,1618093650.72,0.6628971561,45883930.63390029,0.02499421388972721,0.00011555304745216311,0.005096721008917197,40.00925992
cam,4807.089701,761.7891062,chromium,694435.4531,2.49e-06,146070297.9,210.3439525,3D Printing,238.14,279.0,4.9,7190,741.7891062,1014099887.0860201,0.6291054468999999,91893620.03919563,0.0047541181409475304,3.290942628384959e-05,0.02925506988873435,210.3439525
shaft,9968.410889,352.9494965,steel,8304284.508,4.15e-05,158086068.6,19.03668744,Machining,212.34,200.0,12.0,7850,332.9494965,799078791.6,0.83352525175,131768730.12798277,0.05253014754267854,6.305685869273367e-05,0.0024250557248407644,19.03668744
spring,8789.719108,219.9147115,chromium,1061303.972,3.8e-06,326695096.2,307.8242471,Casting,186.02,279.0,4.9,7190,199.9147115,273303402.09165007,0.90004264425,294039518.2473561,0.003248606986589963,2.690496187496799e-05,0.04281282991655076,307.8242471
spring,640.6420018,972.4083953,chromium,123798.1654,4.44e-07,75863868.23,612.802847,Forging,258.64,279.0,4.9,7190,952.4083953,1302037517.2146304,0.52379580235,39737175.728907526,0.0016318462041070114,8.444626101291539e-06,0.08522988136300418,612.802847
housing,4747.127736,689.1290711,steel,1522227.17,7.61e-06,70539304.39,46.3395384,3D Printing,473.29,200.0,12.0,7850,669.1290711,1605909770.64,0.66543546445,46939354.77873958,0.021579843792956348,6.729762615397972e-05,0.005903125910828025,46.3395384
shaft,3048.808044,784.4471253,chromium,639283.5954,2.29e-06,138517624.9,216.6763325,Machining,394.11,279.0,4.9,7190,764.4471253,1045075664.9976302,0.61777643735,85572924.82090566,0.004615178724451259,2.2010253541388867e-05,0.03013579033379694,216.6763325
coupling,1745.231496,279.5289917,steel,185559.2628,9.28e-07,177205991.8,954.983271,3D Printing,428.1,200.0,12.0,7850,259.5289917,622869580.08,0.8702355041500001,154210945.6124738,0.0010471387615912432,9.848603189274326e-06,0.12165391987261145,954.983271
spring,4621.63287,112.1845723,aluminium,7459432.915,0.000106563,103256428.2,13.84239652,Injection Molding,71.16,69.0,23.1,2700,92.1845723,146932989.78897,0.95390771385,98497103.36457866,0.07224182595733057,4.475879081395535e-05,0.005126813525925926,13.84239652
piston,2622.012203,118.5277536,aluminium,370048.4563,5.29e-06,100613436.0,271.8925976,Milling,218.39,69.0,23.1,2700,98.5277536,157043386.46304,0.9507361232,95656828.08447132,0.0036779228601237714,2.6060259019481256e-05,0.10070096207407407,271.8925976
spring,7232.52174,239.8235026,steel,3757966.594,1.88e-05,187545962.9,49.9062347,Milling,148.5,200.0,12.0,7850,219.8235026,527576406.24,0.8900882487,166932457.66841617,0.02003757658064737,3.856399587687419e-05,0.006357482127388535,49.9062347
spring,316.2824487,624.0987704,steel,221038.824,1.11e-06,87474278.53,395.7416935,Injection Molding,212.64,200.0,12.0,7850,604.0987704,1449837048.96,0.6979506148,61052726.47919994,0.002526900795462897,3.6157194322160473e-06,0.05041295458598726,395.7416935
housing,6098.37847,439.7847646,chromium,16555671.2,5.93e-05,253405078.5,15.30624011,Casting,110.19,279.0,4.9,7190,419.7847646,573887751.6846601,0.7901076176999999,200217282.88671649,0.06533283112556089,2.406573106623828e-05,0.00212882338108484,15.30624011
bearing,204.080923,233.3291704,aluminium,22818.36291,3.26e-07,52779512.32,2313.028,Machining,276.26,69.0,23.1,2700,213.3291704,340025364.70056003,0.8933354148,47149807.53132891,0.0004323337201687884,3.866669357660333e-06,0.856677037037037,1000.0
lever,5401.870484,296.6503677,titanium,1366467.132,1.24e-05,529187040.4,387.2665708,3D Printing,202.27,116.0,8.6,4500,276.6503677,275986406.81751996,0.86167481615,455987145.7456326,0.002582200673257455,1.0207866163761028e-05,0.08605923795555556,387.2665708
pulley,8949.941756,281.9367644,steel,1446060.137,7.23e-06,176578967.6,122.1103902,Casting,462.84,200.0,12.0,7850,261.9367644,628648234.5600001,0.8690316177999999,153452705.88288176,0.008189311312974287,5.06852083101657e-05,0.015555463719745222,122.1103902
housing,4582.965572,293.1204296,chromium,477748.989,1.71e-06,302293190.1,632.7448034,Injection Molding,223.08,279.0,4.9,7190,273.1204296,373382939.3061601,0.8634397852,261011967.12736678,0.001580415982384381,1.5160664289142383e-05,0.08800344970792769,632.7448034
flange,5840.312803,42.6040214,abs_plastic,2040510.579,0.001020255,25798659.53,12.64323733,Injection Molding,341.54,2.3,73.8,1050,22.6040214,3836806.5924359993,0.9886979893,25507082.803946283,0.07909366673207148,0.00022638047516416833,0.012041178409523809,12.64323733
gear,5917.507167,660.0615957,steel,1485525.489,7.43e-06,78108959.46,52.58001968,Milling,78.05,200.0,12.0,7850,640.0615957,1536147829.68,0.67996920215,53111686.84478289,0.019018631143854187,7.575964662581872e-05,0.006698091678980891,52.58001968
flange,7327.017039,227.4977627,titanium,10001124.43,9.09e-05,615627796.6,61.55585816,Casting,422.1,116.0,8.6,4500,207.4977627,206999768.06952,0.89625111865,551757101.3747847,0.01624540750959327,1.1901699500031964e-05,0.013679079591111112,61.55585816
bearing,1242.091733,872.2876969,chromium,260121.6561,9.32e-07,109237434.4,419.9474815,Forging,253.12,279.0,4.9,7190,852.2876969,1165162510.4319901,0.57385615155,62686573.70997959,0.002381250141297716,1.1370568521883923e-05,0.05840716015299026,419.9474815
coupling,2661.238379,221.3714572,titanium,334225.439,3.04e-06,623285678.5,1864.866063,Casting,231.48,116.0,8.6,4500,201.3714572,200888165.70272,0.8993142714,560529705.8342822,0.0005362315396117353,4.269692808287428e-06,0.41441468066666665,1000.0
lever,9382.633822,210.317338,aluminium,1633239.945,2.33e-05,62367775.83,38.18653592,Casting,151.61,69.0,23.1,2700,190.317338,303346805.0382,0.904841331,56432941.29352683,0.026187240498231505,0.00015044041088742478,0.01414316145185185,38.18653592
piston,9429.477251,240.6962604,aluminium,27897180.77,0.000398531,49709891.52,1.781896598,Forging,285.53,69.0,23.1,2700,220.6962604,351767769.45156,0.8896518698,44224497.93832317,0.5611997917713419,0.00018969015949685177,0.000659961702962963,1.781896598
shaft,7512.114937,228.8792769,chromium,864947.2268,3.1e-06,323706907.7,374.2504718,Forging,386.08,279.0,4.9,7190,208.8792769,285558859.44999003,0.89556036155,289899075.29604447,0.0026720073196633857,2.320653269457555e-05,0.052051525980528514,374.2504718
pulley,2443.481528,531.9169654,titanium,2304976.093,2.1e-05,235103793.3,101.9983652,3D Printing,88.86,116.0,8.6,4500,511.9169654,510688364.6830399,0.7440415173,174926983.0899176,0.00980407870348045,1.0393203332461925e-05,0.022666303377777777,101.9983652
bearing,8547.840148,408.6997621,steel,1407716.994,7.04e-06,143567770.3,101.986245,Forging,102.4,200.0,12.0,7850,388.6997621,932879429.04,0.80565011895,115665391.21958129,0.009805243830550734,5.9538712136703e-05,0.012991878343949045,101.986245
valve_body,5483.491997,701.0707305,chromium,1054486.548,3.78e-06,166309756.5,157.7163378,Machining,76.24,279.0,4.9,7190,681.0707305,931091795.6665502,0.65946463475,109675402.82563393,0.0063404972155076175,3.297155929032943e-05,0.02193551290681502,157.7163378
valve_body,6152.282397,235.1647533,titanium,794426.6579,7.22e-06,606044058.4,762.8697406,Casting,332.07,116.0,8.6,4500,215.1647533,214648357.89207998,0.89241762335,540844398.2427166,0.001310839776232348,1.0151543129129043e-05,0.16952660902222222,762.8697406
bolt,8967.69092,42.57656706,steel,3626982.942,1.81e-05,238912352.3,65.87082325,Casting,188.83,200.0,12.0,7850,22.576567060000002,54183760.944000006,0.98871171647,236215441.92841837,0.015181228208098805,3.753548459788028e-05,0.008391187675159235,65.87082325
bracket,7960.743058,584.9591251,chromium,2283313.3,8.18e-06,205013625.0,89.78777681,3D Printing,191.07,279.0,4.9,7190,564.9591251,772355619.9242102,0.7175204374499999,147101465.89321023,0.011137373430668326,3.8830312170715485e-05,0.012487868819193323,89.78777681
bracket,2459.067738,239.8953202,chromium,482683.2136,1.73e-06,320034893.3,663.0329878,Casting,349.66,279.0,4.9,7190,219.8953202,300618892.24542004,0.8900523399,284847805.63131183,0.0015082205837709509,7.683748833271362e-06,0.09221599273991656,663.0329878
housing,189.961646,396.0125658,titanium,36815.49373,3.35e-07,404984292.7,11000.37652,Machining,314.65,116.0,8.6,4500,376.0125658,375110135.64207995,0.8119937171,328844701.1965874,9.090597930244123e-05,4.6905929297538906e-07,2.4445281155555554,1000.0
shaft,7098.867553,399.5209466,titanium,812418.1948,7.39e-06,400598816.8,493.0943439,Machining,246.84,116.0,8.6,4500,379.5209466,378610096.3281599,0.8102395267,324580995.720612,0.0020280094716445506,1.7720640339644657e-05,0.10957652086666667,493.0943439
shaft,4556.087601,927.310827,chromium,686785.067,2.46e-06,90896391.02,132.3505641,Machining,81.79,279.0,4.9,7190,907.310827,1240384631.5917003,0.5463445865000001,49660751.16616422,0.00755569125785078,5.012396586788051e-05,0.018407588887343534,132.3505641
bearing,1400.98259,93.49580221,aluminium,239319.2071,3.42e-06,111043415.7,463.9970903,Milling,235.5,69.0,23.1,2700,73.49580221,117144959.142519,0.963252098895,106962803.241495,0.0021551859296777736,1.2616530040691103e-05,0.17185077418518518,463.9970903
valve_body,9585.567386,163.626353,titanium,2703423.461,2.46e-05,695467058.8,257.254207,Injection Molding,317.08,116.0,8.6,4500,143.626353,143281649.7528,0.9281868235,645523360.1564597,0.0038872056221679963,1.378292079360237e-05,0.05716760155555556,257.254207
bearing,3297.597863,891.2319463,chromium,1950926.461,6.99e-06,102922684.6,52.75579916,Injection Molding,180.17,279.0,4.9,7190,871.2319463,1191061193.7867303,0.56438402685,58087919.188760474,0.018955262084176146,3.203956324901382e-05,0.007337385140472879,52.75579916
cam,2380.160324,124.2835276,chromium,289017.5444,1.04e-06,358572157.5,1240.658792,Injection Molding,110.23,279.0,4.9,7190,104.2835276,142566010.58196002,0.9478582362,339875572.75837857,0.0008060233856835357,6.637883823983182e-06,0.172553378581363,1000.0
valve_body,7498.24582,57.37281697,steel,790091.497,3.95e-06,235059162.2,297.5087862,Machining,213.13,200.0,12.0,7850,37.37281697,89694760.728,0.981313591515,230666750.6769889,0.0033612452695111327,3.1899398218819994e-05,0.037899208433121015,297.5087862
bracket,167.285831,233.8798201,aluminium,32235.99567,4.61e-07,52550074.98,1630.167578,Milling,175.68,69.0,23.1,2700,213.8798201,340903045.25738996,0.89306008995,46930374.68851804,0.00061343386631263,3.183360462638107e-06,0.6037657696296297,1000.0
shaft,5272.718408,199.4869601,aluminium,668729.2499,9.55e-06,66880433.28,100.0112277,3D Printing,100.36,69.0,23.1,2700,179.4869601,286084265.70339,0.91025651995,60878350.45020097,0.009998877356256267,7.883798219316799e-05,0.037041195444444446,100.0112277
coupling,7188.248466,493.7130451,steel,7358030.891,3.68e-05,121428894.5,16.50290632,Injection Molding,349.66,200.0,12.0,7850,473.7130451,1136911308.24,0.76314347745,92667668.81163917,0.0605953872947431,5.919718280890715e-05,0.0021022810598726118,16.50290632
coupling,734.5376393,186.9199419,aluminium,98969.56656,1.41e-06,72116690.89,728.6754241,Milling,354.6,69.0,23.1,2700,166.9199419,266053695.39440998,0.91654002905,66097833.96331047,0.0013723531312738524,1.018540410319706e-05,0.2698797867037037,728.6754241
cam,8432.057875,28.49906555,aluminium,997434.336,1.42e-05,138125389.4,138.4806843,Casting,462.91,69.0,23.1,2700,8.499065550000001,13546660.580145001,0.995750467225,137538421.03068507,0.007221223703569157,6.104640074954967e-05,0.051289142333333336,138.4806843
shaft,9384.47542,412.7440807,titanium,7341308.999,6.67e-05,384069899.2,52.31626938,Machining,306.12,116.0,8.6,4500,392.7440807,391801494.9063199,0.80362795965,308649309.45707715,0.019114512786062146,2.4434290319411737e-05,0.011625837640000001,52.31626938
lever,4887.143523,235.6882647,chromium,1869282.366,6.7e-06,321437245.1,171.9575656,Machining,467.84,279.0,4.9,7190,215.6882647,294867426.67137,0.89215586765,286772124.29721624,0.005815388211837309,1.5204036238798636e-05,0.023916212183588317,171.9575656
shaft,986.7036407,721.0568329,chromium,354380.1661,1.27e-06,159647722.4,450.4984693,Machining,166.7,279.0,4.9,7190,701.0568329,958414796.2575902,0.64947158355,103686659.07727881,0.0022197633688258614,6.180505589849868e-06,0.06265625442280946,450.4984693
bolt,7251.872706,20.59135212,abs_plastic,1410749.25,0.000705375,33136215.96,23.48838105,Forging,423.69,2.3,73.8,1050,0.5913521199999998,100376.10884879995,0.99970432394,33126418.374221638,0.04257424117777871,0.00021885035740816075,0.022369886714285716,23.48838105
spring,8728.70024,429.9788913,chromium,1939919.545,6.95e-06,256673702.9,132.3115196,Casting,372.41,279.0,4.9,7190,409.9788913,560482142.2962301,0.79501055435,204058302.82959622,0.0075579209053441366,3.4006990748875816e-05,0.018402158497913768,132.3115196
spring,2741.266039,313.4369641,titanium,351466.6096,3.2e-06,508203794.9,1445.951851,Machining,441.42,116.0,8.6,4500,293.4369641,292732715.38615996,0.85328151795,433640905.5402224,0.0006915859604495056,5.394029061784954e-06,0.32132263355555557,1000.0
bearing,3660.788056,74.97874748,abs_plastic,1145048.798,0.000572524,15007084.17,13.10606517,Machining,75.79,2.3,73.8,1050,54.978747479999996,9332092.597255198,0.97251062626,14594548.824503232,0.0763005514614902,0.00024393733083193602,0.012481966828571429,13.10606517
bolt,7045.496129,27.665491,steel,1697338.698,8.49e-06,242795445.1,143.0447826,Milling,184.82,200.0,12.0,7850,7.665490999999999,18397178.4,0.9961672545,241864871.95037246,0.006990817712008223,2.9018238485067858e-05,0.018222265299363057,143.0447826
bearing,6964.437631,770.9205633,chromium,2238982.486,8.03e-06,143026478.9,63.88012404,Casting,374.1,279.0,4.9,7190,750.9205633,1026583502.0874302,0.62453971835,89325716.84879822,0.015654321515986086,4.86933446489257e-05,0.00888457914325452,63.88012404
coupling,3009.775929,278.8692888,titanium,412440.256,3.75e-06,551413389.0,1336.953367,Injection Molding,391.2,116.0,8.6,4500,258.8692888,258248002.50687996,0.8705653556,480041393.07738614,0.0007479692445407777,5.458293159073074e-06,0.2971007482222222,1000.0
bearing,2329.09414,72.98543308,abs_plastic,379587.7998,0.000189794,15671522.31,41.28563224,Casting,454.01,2.3,73.8,1050,52.98543308000001,8993747.4109992,0.97350728346,15256341.111690884,0.024221501414561683,0.00014861952106042724,0.03931964975238095,41.28563224
flange,1647.985202,230.5034858,aluminium,287814.4774,4.11e-06,53956880.91,187.4710453,3D Printing,86.12,69.0,23.1,2700,210.5034858,335521506.01662,0.8947482571,48277825.15277476,0.0053341570629346444,3.054263282469639e-05,0.06943372048148147,187.4710453
lever,4796.90565,213.5904263,titanium,822063.2439,7.47e-06,633011967.1,770.028306,Forging,216.48,116.0,8.6,4500,193.5904263,193125809.27687997,0.9032047868499999,571739438.8180547,0.0012986535588988867,7.577906736859856e-06,0.17111740133333334,770.028306
coupling,5736.119346,70.53779347,abs_plastic,1095598.462,0.000547799,16487402.18,15.04876353,3D Printing,382.18,2.3,73.8,1050,50.53779347,8578285.063597798,0.974731103265,16070783.716885166,0.06645064213506073,0.0003479092268979879,0.014332155742857143,15.04876353
flange,4547.754769,191.9380349,titanium,488820.289,4.44e-06,660077456.4,1350.347912,Casting,110.59,116.0,8.6,4500,171.9380349,171525383.61623996,0.91403098255,603331246.0323968,0.0007405498919262894,6.889728962723594e-06,0.30007731377777774,1000.0
housing,3295.816955,272.9454903,chromium,702215.4278,2.52e-06,309018169.9,440.0617783,Milling,484.95,279.0,4.9,7190,252.94549030000002,345801779.7891301,0.8735272548499999,269935793.65151787,0.002272408214789573,1.0665447135573112e-05,0.06120469795549374,440.0617783
coupling,4605.248792,147.5719597,steel,1480394.156,7.4e-06,211569802.2,142.9145078,Machining,303.55,200.0,12.0,7850,127.57195970000001,306172703.28000003,0.93621402015,198074615.0600023,0.0069971902445726255,2.1767042102003728e-05,0.01820566978343949,142.9145078
cam,9007.456476,195.9539481,aluminium,2027507.589,2.9e-05,68352521.61,33.71258484,Machining,155.83,69.0,23.1,2700,175.9539481,280452997.87659,0.91202302595,62339073.590064965,0.029662513411990565,0.00013177943203608461,0.012486142533333333,33.71258484
gear,5045.528519,81.18209937,abs_plastic,1848842.482,0.000924421,12939300.21,6.998595247,Machining,339.97,2.3,73.8,1050,61.18209937,10385049.5470638,0.969408950315,12543473.43438676,0.14288581700663702,0.0003899382839189879,0.0066653288066666665,6.998595247
shaft,440.3308977,71.11704176,abs_plastic,485840.8716,0.00024292,16294319.41,33.5383875,Machining,213.62,2.3,73.8,1050,51.117041760000006,8676606.6683424,0.97444147912,15877860.707134126,0.02981657959287543,2.702358328815895e-05,0.03194132142857143,33.5383875
cam,2997.285467,336.3482111,titanium,2109543.668,1.92e-05,479564736.1,227.3310305,Machining,321.95,116.0,8.6,4500,316.3482111,315588975.39335996,0.84182589445,403710012.9140607,0.004398871537460404,6.2500122327071994e-06,0.05051800677777778,227.3310305
bracket,2281.241195,48.90066169,aluminium,387186.0118,5.53e-06,129624724.3,334.7866926,Casting,354.8,69.0,23.1,2700,28.90066169,46064764.667691,0.985549669155,127751604.14817308,0.002986976550121002,1.759881232009687e-05,0.12399507133333333,334.7866926
shaft,5289.543084,673.5967092,chromium,1927165.962,6.91e-06,175467763.6,91.04963822,Forging,421.7,279.0,4.9,7190,653.5967092,893532061.1473202,0.6732016454,118125187.17017823,0.010983020028643029,3.0145383832771434e-05,0.012663371101529904,91.04963822
spring,8693.19596,831.6221519,chromium,1380323.364,4.95e-06,122792616.0,88.95931146,Casting,90.9,279.0,4.9,7190,811.6221519,1109568643.8624902,0.59418892405,72962012.38232481,0.01124109420390555,7.079575501510612e-05,0.012372644152990263,88.95931146
cylinder,6253.035368,81.56134778,aluminium,1388357.193,1.98e-05,116016105.1,83.56358559,3D Printing,196.03,69.0,23.1,2700,61.561347780000006,98122632.22654201,0.96921932611,112445051.20292892,0.011966935037194246,5.389799427079715e-05,0.030949476144444446,83.56358559
housing,1421.988908,50.935716,abs_plastic,172795.6423,8.64e-05,23021428.0,133.2292162,Machining,138.47,2.3,73.8,1050,30.935716,5251028.433839999,0.984532142,22665335.820738778,0.00750586116117558,6.176805834981219e-05,0.1268849678095238,133.2292162
spring,5119.296239,180.2081493,aluminium,548677.4849,7.84e-06,74913271.13,136.5342541,Milling,50.56,69.0,23.1,2700,160.2081493,255355769.16927,0.91989592535,68912412.86712678,0.007324169357761165,6.833630626162727e-05,0.05056824225925926,136.5342541
pulley,1788.951134,54.94062543,abs_plastic,381146.5651,0.000190573,21686458.19,56.89794996,Milling,436.73,2.3,73.8,1050,34.94062543,5930821.760488198,0.982529687285,21307588.983739927,0.01757532565994355,8.249162303620957e-05,0.05418852377142857,56.89794996
flange,9313.65533,21.97155237,abs_plastic,1331050.621,0.000665525,32676149.21,24.54914088,Milling,199.2,2.3,73.8,1050,1.9715523700000013,334651.2992838002,0.999014223815,32643937.840291277,0.040734623056276585,0.0002850291590402491,0.02338013417142857,24.54914088
cylinder,8380.147916,780.0626623,steel,858757.3014,4.29e-06,46858681.69,54.56568651,Milling,452.36,200.0,12.0,7850,760.0626623,1824150389.5200002,0.6199686688499999,29050914.51141516,0.018326535669125864,0.00017883874692506315,0.006951042867515924,54.56568651
cylinder,8236.209295,653.383735,chromium,1265417.915,4.54e-06,182205421.7,143.9883374,Forging,325.66,279.0,4.9,7190,633.383735,865898904.1185001,0.6833081325,124502446.43320197,0.006945006922370852,4.520287716004886e-05,0.02002619435326843,143.9883374
bolt,6536.852948,589.8398967,titanium,716210.1675,6.51e-06,162700129.1,227.1681365,Milling,91.41,116.0,8.6,4500,569.8398967,568472280.94792,0.71508005165,116343616.72028966,0.004402025809455858,4.017730646041632e-05,0.05048180811111111,227.1681365
pulley,495.4849355,375.0476202,chromium,59832.0414,2.14e-07,274984126.6,4595.934222,Machining,159.29,279.0,4.9,7190,355.0476202,485385601.5754201,0.8224761899,226167896.72894728,0.0002175836188793306,1.8018674082258825e-06,0.6392119919332406,1000.0
bracket,4647.50219,24.40812281,abs_plastic,1074254.563,0.000537127,31863959.06,29.66146028,Forging,283.17,2.3,73.8,1050,4.408122809999998,748234.7657693996,0.997795938595,31793728.937625352,0.0337137817989652,0.00014585451171490429,0.02824900979047619,29.66146028
bracket,9474.113944,42.013609,abs_plastic,2345189.495,0.001172595,25995463.67,11.08458985,Injection Molding,349.06,2.3,73.8,1050,22.013609000000002,3736589.99166,0.9889931955,25709336.68349746,0.0902153362129278,0.0003644525854306487,0.010556752238095239,11.08458985
spring,3448.486576,732.8235065,steel,351443.7048,1.76e-06,59160545.2,168.3357658,Milling,448.07,200.0,12.0,7850,712.8235065,1710776415.6,0.64358824675,38075031.56204213,0.00594050821560042,5.8290310955416946e-05,0.02144404659872611,168.3357658
spring,6856.866128,205.4250043,aluminium,954770.4361,1.36e-05,64406248.19,67.45731304,Injection Molding,149.56,69.0,23.1,2700,185.4250043,295548914.35377,0.90728749785,58434983.76621119,0.014824189623394986,0.00010646274733737133,0.024984190014814816,67.45731304
bracket,3225.117964,55.07034471,aluminium,489429.2614,6.99e-06,127054023.0,259.5962952,Forging,369.27,69.0,23.1,2700,35.07034471,55898622.433269,0.982464827645,124826108.80829887,0.003852135098469098,2.538383191534203e-05,0.09614677599999999,259.5962952
gear,1482.954489,77.25887411,abs_plastic,152400.2326,7.62e-05,14247041.96,93.48438463,Forging,274.02,2.3,73.8,1050,57.258874109999994,9719121.291431397,0.971370562945,13839157.168986237,0.010696973661471548,0.00010408858857603869,0.08903274726666666,93.48438463
coupling,861.9949118,409.0437148,titanium,104732.1834,9.52e-07,388695356.6,3711.326775,Milling,156.49,116.0,8.6,4500,389.0437148,388110009.88447994,0.8054781426,313085613.87141263,0.0002694454194568065,2.217661973994366e-06,0.8247392833333334,1000.0
piston,1458.548752,563.8436472,titanium,406949.2555,3.7e-06,195195441.1,479.6554814,Forging,462.4,116.0,8.6,4500,543.8436472,542538422.4467199,0.7280781763999999,142117540.7976816,0.002084829713269364,7.472248039096237e-06,0.10659010697777778,479.6554814
gear,6749.436287,46.71219772,abs_plastic,2578910.576,0.001289455,24429267.43,9.472708225,Casting,443.08,2.3,73.8,1050,26.71219772,4534128.440992799,0.98664390114,24102987.719127543,0.10556643106018836,0.00027628484179232716,0.00902162688095238,9.472708225
